Entity,Year,$2.15 a day - Number in poverty
United States,2004,2927708
United States,2005,2954374
United States,2006,2980544
United States,2007,3011982
United States,2008,3040177
United States,2009,3065832
United States,2010,3092426
United States,2011,3112645
United States,2012,3134005
United States,2013,3146262
United States,2014,3976476
United States,2015,4006634
United States,2016,3228750
United States,2017,4063776
United States,2018,3267702
United States,2019,3280576
United States,2020,828693
United States,2021,825825
United States,2022,4163380
Uruguay,2006,18741
Uruguay,2007,12681
Uruguay,2008,7592
Uruguay,2009,9437
Uruguay,2010,5670
Uruguay,2011,4687
Uruguay,2012,5710
Uruguay,2013,5892
Uruguay,2014,5205
Uruguay,2015,5096
Uruguay,2016,3150
Uruguay,2017,2270
Uruguay,2018,1914
Uruguay,2019,3499
Uruguay,2020,7091
Uruguay,2021,3843
Uruguay,2022,5311
Uruguay (urban),1981,0
Uruguay (urban),1989,18620
Uruguay (urban),1992,15853
Uruguay (urban),1995,15525
Uruguay (urban),1996,17305
Uruguay (urban),1997,16796
Uruguay (urban),1998,19188
Uruguay (urban),2000,19850
Uruguay (urban),2001,15156
Uruguay (urban),2002,19425
Uruguay (urban),2003,24927
Uruguay (urban),2004,31851
Uruguay (urban),2005,26677
Uzbekistan,1998,14143969
Uzbekistan,2000,20051370
Uzbekistan,2002,20336180
Uzbekistan,2003,20838536
Uzbekistan,2022,803185
Vanuatu,2010,35960
Vanuatu,2019,30481
Venezuela,1981,1044647
Venezuela,1987,1288688
Venezuela,1989,1025108
Venezuela,1992,936912
Venezuela,1995,2194830
Venezuela,1998,2451888
Venezuela,1999,2836040
Venezuela,2001,2560544
Venezuela,2002,4149549
Venezuela,2003,5066822
Venezuela,2004,4356034
Venezuela,2005,3828493
Venezuela,2006,1932388
Vietnam,1992,31934652
Vietnam,1997,18790350
Vietnam,2002,24143706
Vietnam,2004,16579136
Vietnam,2006,12510218
Vietnam,2008,9535385
Vietnam,2010,2509118
Vietnam,2012,1482547
Vietnam,2014,1744465
Vietnam,2016,1176603
Vietnam,2018,1168814
Vietnam,2020,631868
Vietnam,2022,946320
Western and Central Africa (PIP),1990,114119016
Western and Central Africa (PIP),1991,120139320
Western and Central Africa (PIP),1992,124649840
Western and Central Africa (PIP),1993,130308560
Western and Central Africa (PIP),1994,134919424
Western and Central Africa (PIP),1995,138732416
Western and Central Africa (PIP),1996,141902512
Western and Central Africa (PIP),1997,143532656
Western and Central Africa (PIP),1998,145395232
Western and Central Africa (PIP),1999,147117520
Western and Central Africa (PIP),2000,149438160
Western and Central Africa (PIP),2001,148868896
Western and Central Africa (PIP),2002,145652896
Western and Central Africa (PIP),2003,145517760
Western and Central Africa (PIP),2004,143651984
Western and Central Africa (PIP),2005,144135808
Western and Central Africa (PIP),2006,144863328
Western and Central Africa (PIP),2007,145882528
Western and Central Africa (PIP),2008,143212384
Western and Central Africa (PIP),2009,143748512
Western and Central Africa (PIP),2010,139296416
Western and Central Africa (PIP),2011,139903024
Western and Central Africa (PIP),2012,136195168
Western and Central Africa (PIP),2013,134590704
Western and Central Africa (PIP),2014,131638896
Western and Central Africa (PIP),2015,135002496
Western and Central Africa (PIP),2016,133319800
Western and Central Africa (PIP),2017,129095488
Western and Central Africa (PIP),2018,124930872
Western and Central Africa (PIP),2019,123857464
Western and Central Africa (PIP),2020,131976592
Western and Central Africa (PIP),2021,133550656
Western and Central Africa (PIP),2022,133960840
Western and Central Africa (PIP),2023,135809040
Western and Central Africa (PIP),2024,136766384
World,1990,2004621056
World,1991,2011197312
World,1992,2003391872
World,1993,2008309760
World,1994,1928587904
World,1995,1861664896
World,1996,1802243456
World,1997,1815077632
World,1998,1861604224
World,1999,1831895168
World,2000,1799557504
World,2001,1764917248
World,2002,1692761728
World,2003,1613798016
World,2004,1510641280
World,2005,1408802944
World,2006,1360683904
World,2007,1289433472
World,2008,1244799616
World,2009,1199263616
World,2010,1092742528
World,2011,980369792
World,2012,923164864
World,2013,832973376
World,2014,804976384
World,2015,778435072
World,2016,764762944
World,2017,708478656
World,2018,667108864
World,2019,683633536
World,2020,757105024
World,2021,745666368
World,2022,712786752
World,2023,705163328
World,2024,691757504
World (excluding China),1990,1187718400
World (excluding China),1991,1202115840
World (excluding China),1992,1212543616
World (excluding China),1993,1235637632
World (excluding China),1994,1230237952
World (excluding China),1995,1225308032
World (excluding China),1996,1215566208
World (excluding China),1997,1232339328
World (excluding China),1998,1281113216
World (excluding China),1999,1253950976
World (excluding China),2000,1256622464
World (excluding China),2001,1255933440
World (excluding China),2002,1220432000
World (excluding China),2003,1201901056
World (excluding China),2004,1158288000
World (excluding China),2005,1118667904
World (excluding China),2006,1092826368
World (excluding China),2007,1046439680
World (excluding China),2008,1016062208
World (excluding China),2009,995322944
World (excluding China),2010,913764928
World (excluding China),2011,846508736
World (excluding China),2012,810547776
World (excluding China),2013,796411008
World (excluding China),2014,781055936
World (excluding China),2015,770649088
World (excluding China),2016,763640128
World (excluding China),2017,708478720
World (excluding China),2018,667108928
World (excluding China),2019,683633600
World (excluding China),2020,757105024
World (excluding China),2021,745666368
World (excluding China),2022,712786752
World (excluding China),2023,705163328
World (excluding China),2024,691757504
World (excluding India),1990,1574150272
World (excluding India),1991,1573774208
World (excluding India),1992,1560738816
World (excluding India),1993,1561268224
World (excluding India),1994,1478078976
World (excluding India),1995,1409305088
World (excluding India),1996,1349728128
World (excluding India),1997,1357022592
World (excluding India),1998,1400072320
World (excluding India),1999,1372598016
World (excluding India),2000,1336151296
World (excluding India),2001,1296192768
World (excluding India),2002,1217994880
World (excluding India),2003,1139973888
World (excluding India),2004,1041519424
World (excluding India),2005,949140864
World (excluding India),2006,913082176
World (excluding India),2007,854191680
World (excluding India),2008,813227648
World (excluding India),2009,778155648
World (excluding India),2010,730621184
World (excluding India),2011,671181632
World (excluding India),2012,635673088
World (excluding India),2013,553818560
World (excluding India),2014,537664896
World (excluding India),2015,525515232
World (excluding India),2016,520337952
World (excluding India),2017,513240640
World (excluding India),2018,510956640
World (excluding India),2019,515436512
World (excluding India),2020,541263872
World (excluding India),2021,552732736
World (excluding India),2022,547797568
World (excluding India),2023,558063424
World (excluding India),2024,562738240
Yemen,1998,1426020
Yemen,2005,2264834
Yemen,2014,5495919
Zambia,1991,4526430
Zambia,1993,4884473
Zambia,1996,4163776
Zambia,1998,4426187
Zambia,2002,6079806
Zambia,2004,6985860
Zambia,2006,7884632
Zambia,2010,8882366
Zambia,2015,9877802
Zambia,2022,12881325
Zimbabwe,2011,2810964
Zimbabwe,2017,5045768
Zimbabwe,2019,6104153
